"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.230243182E1,6.494418468E1,2.539235355E1,-1.514092259E0,7.799999714E-1,6.600000000E1,2.500000000E0,3.000000000E0
4.326698905E1,6.494418879E1,2.539237417E1,-1.514088207E0,8.799999952E-1,7.330000305E1,2.500000000E0,3.000000000E0
4.428100208E1,6.494419071E1,2.539239680E1,-1.514085962E0,8.700000048E-1,7.209999847E1,2.500000000E0,3.000000000E0
4.528890112E1,6.494419214E1,2.539241793E1,-1.514084186E0,1.189999938E0,8.230000305E1,2.500000000E0,3.000000000E0
4.630070651E1,6.494419373E1,2.539245070E1,-5.140819578E-1,1.149999976E0,8.059999847E1,2.500000000E0,3.000000000E0
4.731050824E1,6.494419922E1,2.539247291E1,-1.514076683E0,1.120000005E0,7.980000305E1,2.500000000E0,3.000000000E0
4.830388027E1,6.494420228E1,2.539249688E1,-2.514073436E0,1.169999957E0,6.969999695E1,2.500000000E0,2.000000000E0
4.929469100E1,6.494420894E1,2.539251826E1,-1.514067182E0,1.000000000E0,7.850000000E1,2.500000000E0,2.000000000E0
5.030893377E1,6.494421037E1,2.539254122E1,-1.514065356E0,7.199999690E-1,7.909999847E1,2.500000000E0,2.000000000E0
5.134827646E1,6.494421469E1,2.539255681E1,-1.514061258E0,7.699999809E-1,7.269999695E1,2.500000000E0,2.000000000E0
5.226431273E1,6.494421758E1,2.539257458E1,-1.514058319E0,7.099999785E-1,7.140000153E1,2.500000000E0,2.000000000E0
5.326809777E1,6.494421770E1,2.539258431E1,-1.514057954E0,8.399999738E-1,6.850000000E1,2.500000000E0,2.000000000E0
5.427933827E1,6.494422378E1,2.539260518E1,-1.514052213E0,1.090000033E0,6.300000000E1,2.500000000E0,2.000000000E0
5.530202573E1,6.494423116E1,2.539262244E1,-1.514045459E0,1.049999952E0,3.820000076E1,2.500000000E0,2.000000000E0
5.633387796E1,6.494423681E1,2.539263711E1,-1.514040240E0,9.699999690E-1,2.929999924E1,2.500000000E0,2.000000000E0
5.728705454E1,6.494424473E1,2.539264449E1,-1.514033283E0,9.699999690E-1,4.070000076E1,2.500000000E0,2.000000000E0
5.831357534E1,6.494425027E1,2.539265857E1,-2.514028187E0,9.699999690E-1,4.950000000E1,2.500000000E0,2.000000000E0
